#,ko,en
## System
ClipboardCopy,클립보드에 복사되었습니다,Copied to clipboard
ClipboardFailed,클립보드에 복사 실패,Failed to copy to clipboard
FromClipboard,클립보드로부터 추가되었습니다,Added from clipboard
NoExceptableDataFromClipboard,클립보드에 유효한 정보가 없습니다,There is no valid information on the clipboard.
OpeningInputFile,파일 선택기 여는 중...,Opening file picker...
GeneralErr,동작 실패,Operation failure
ActingClipboard,클립보드로부터 불러오기 중...,Loading from clipboard...
MainImage,대표 이미지,Representative Image
FromDroppedFile,파일 드롭 이미지 수집 성공,File drop image collection successful
NoExceptableDataFromDroppedFile,이미지 파일이 아닙니다,It is not an image file
NoFilesDropped,파일이 감지되지 않았습니다,The file was not detected
DropImageHere,여기로 이미지를 드롭하세요,Drop the image here
DropFileHere,여기에 파일을 드롭하세요,Drop the file here
Add,추가,Add
Cancel,취소,Cancel
Delete,삭제,Delete
Save,저장,Save
Edit,편집,Edit
Withdraw,탈퇴,Withdraw
FullReset,초기화 완료되었습니다.,Initialization is complete.
FullResetClose,창을 닫아주세요., Please close the window.
UploadFile,파일 업로드,Upload file
DownloadFile,파일 다운로드,Download file
NoContents,내용 없음,No content
ClickToRemove,클릭하여 이미지 제거,Click to remove image
FailedToDownload,파일 다운로드 실패,File download failed
CheckToken,토큰을 확인합니다...,Verify the token...
NoToken,만료된 토큰입니다.,This is an expired token.
GoBack,뒤로가기,Go back
QuickActError,빠른 진입 행동 오류,QuickLink error
NoPost,게시물 정보 없음,No post information
Caution,주의,Caution
## Server
SIGNUP_BLOCKED,더 이상 가입할 수 없습니다,Sign-up is currently blocked
ALREADY_SIGNUP,이미 존재하거나 승인 대기 중인 아이디입니다,ID already exists or is pending approval
WRONG_ANSWER,질문에 대한 답변이 틀렸습니다,Incorrect answer to the security question
SIGNUP_OK,가입 신청 완료! 관리자의 승인을 기다려주세요,Sign-up request complete! Please wait for admin approval
SIGNUP_ADMIN,관리자로 가입되었습니다,Registered as an administrator
SIGNUP_NORMAL,가입이 완료되었습니다,Sign-up successful
SERVER_ERR,서버 처리 중 오류가 발생했습니다,Server error occurred
WRONG_INFO,아이디 또는 비밀번호가 잘못되었습니다,Invalid ID or password
LOGOUT,로그아웃 되었습니다,Logged out
NO_USER_ID,존재하지 않는 사용자입니다,User does not exist
TOO_MANY_BATCH,한 번에 요청할 수 있는 최대 인원은 100명입니다,Maximum 100 users per request
NO_SESSION,세션이 만료되었거나 비활성 상태입니다,Session expired or inactive
PROFILE_UPDATED,프로필이 업데이트되었습니다,Profile updated
EMPTY_ID,아이디를 입력해주세요,Please enter an ID
TOO_MANY_REQ,너무 많은 요청이 발생했습니다. 잠시 후 다시 시도해주세요,Too many requests. Please try again later
REQ_PW_WELL,요청이 처리되었습니다. 관리자에게 문의하세요,Request processed. Please contact an administrator
EMPTY_PRIMARY,필수 정보가 누락되었습니다,Required information missing
NEED_ADMIN_APPROVED,권한이 없습니다. 관리자의 승인이 필요합니다,Permission denied. Admin approval required
PW_RESET_REQ,10분 안에 해당 사용자가 링크에서 작업해야 합니다,The user must perform an action on the link within 10 minutes
PW_RESET_WELL,비밀번호가 재설정되었습니다,Password reset successful
PASSWORD_RESET_OK,비밀번호가 변경되었습니다,Password changed
WITHDRAW_WELL,사용자의 모든 서버 데이터가 완전히 삭제되었습니다,All server data for this user has been deleted
NEED_KICK_TARGET,추방할 사용자 ID를 입력해주세요,Please enter the user ID to kick
KICK_WELL,사용자(%s)가 서버에서 추방되었습니다,User(%s) has been kicked from the server
NEED_LOGIN,로그인이 필요합니다,Login required
NO_ADMIN,관리자 권한이 없습니다,Administrator privileges required
NO_PW_REQ,요청을 찾을 수 없습니다,Request not found
SIGNUP_BY_ADMIN,가입이 승인되었습니다,Sign-up approved
NO_ADMIN_REQ_USER,가입 대기자를 찾을 수 없습니다,No pending sign-up requests found
REJECT_BY_ADMIN,가입이 거절되었습니다,Sign-up rejected
GOT_ADMIN,관리자로 승급되었습니다,Promoted to administrator
